id_staz,lat,lon,quota,dataset,nome
H07819,44.00903,11.43640,380.0,fiduto,Ronta
H07820,43.95786,11.39050,196.0,fiduto,Borgo S. Lorenzo
H07821,43.96429,11.54103,365.0,fiduto,Villore
H07822,43.78445,11.58519,955.0,fiduto,Consuma
H07823,44.00701,11.27125,388.0,fiduto,Le Croci (Barberino
H07824,44.07961,11.28084,820.0,fiduto,Monte di Fo'
H07825,44.05004,11.19563,540.0,fiduto,Mangona
H07827,43.77918,11.25805,50.0,fiduto,Firenze Genio Civile
H07829,44.04914,11.30440,459.0,fiduto,Ponte a Olmo
H07830,43.81973,11.16823,33.0,fiduto,Case Passerini
H07832,43.75994,11.19376,42.0,fiduto,S. Giusto
H07833,43.79877,11.25114,84.0,fiduto,Firenze Universita'
H07836,44.05666,11.12056,695.0,fiduto,Vernio
H07847,43.99122,10.96417,525.0,fiduto,Baggio
H07848,44.28449,10.30106,1580.0,fiduto,Passo Pradarena
H07849,44.25600,10.30965,1035.0,fiduto,Capanne di Sillano
H07850,44.23585,10.33259,858.0,fiduto,Monte Castellino
H07851,44.13462,10.19736,1070.0,fiduto,Orto di Donna
H07852,44.10853,10.28944,581.0,fiduto,Vagli di Sotto
H07853,44.21052,10.44718,1297.0,fiduto,Casone di Profecchia
H07855,44.15932,10.38613,502.0,fiduto,Villacollemandina
H07856,44.09004,10.45284,197.0,fiduto,Ponte di Campia
H07858,44.05899,10.25935,807.0,fiduto,Campagrina
H07859,44.16350,10.52080,1591.0,fiduto,Monte Romecchio
H07860,44.02894,10.36056,493.0,fiduto,Fornovolasco
H07861,44.06411,10.44299,179.0,fiduto,Gallicano
H07862,43.99642,10.36314,861.0,fiduto,Palagnana
H07863,43.99958,10.43215,345.0,fiduto,Fabbriche di Vallico
H07865,44.05983,10.56780,590.0,fiduto,Tereglio
H07866,44.13907,10.67354,1345.0,fiduto,Boscolungo
H07867,44.13270,10.74317,1000.0,fiduto,Melo
H07868,44.12986,10.78154,1716.0,fiduto,Croce Arcana
H07870,44.09818,10.75170,593.0,fiduto,Casotti di Cutigliano
H07871,44.07207,10.79421,755.0,fiduto,Selva dei Porci
H07872,44.04180,10.83274,810.0,fiduto,Monte Oppio
H07873,44.05536,10.78857,618.0,fiduto,S. Marcello Pistoiese
H07874,44.00846,10.80402,960.0,fiduto,Prunetta
H07875,44.04357,10.71981,350.0,fiduto,Ponte di Lucchio
H07876,44.00730,10.56398,103.0,fiduto,Chifenti
H07877,43.97986,10.55153,100.0,fiduto,Borgo a Mozzano
H07878,43.95242,10.42261,285.0,fiduto,Convalle
H07879,43.92934,10.51429,72.0,fiduto,Piaggione
H07880,43.92006,10.37015,475.0,fiduto,Gombitelli
H07882,43.88175,10.48420,34.0,fiduto,Mutigliano
H07884,43.86503,10.43319,23.0,fiduto,Ponte Guido
H07885,43.84185,10.51088,16.0,fiduto,Lucca (Orto Botanico
H07886,43.82964,10.46978,13.0,fiduto,Pontetetto
H07887,43.81885,10.41428,11.0,fiduto,Ripafratta
H07889,43.78051,10.39889,6.0,fiduto,Vecchiano
H07890,43.78135,10.26976,0.0,fiduto,Bocca di Serchio
H07891,43.83180,10.30686,1.0,fiduto,Torre del Lago
H07892,43.86765,10.25949,0.0,fiduto,Viareggio 1
H07893,43.93372,10.28105,21.0,fiduto,Camaiore
H07895,43.98528,10.31478,600.0,fiduto,Pomezzana
H07896,44.00501,10.27150,420.0,fiduto,Retignano
H07897,44.02358,10.22845,430.0,fiduto,Azzano
H07900,43.97256,10.18493,11.0,fiduto,Ponte Tavole
H07901,44.03925,10.24562,1140.0,fiduto,Cervaiole
H07906,44.00977,10.31899,390.0,fiduto,Cardoso
H07907,44.03013,10.17190,477.0,fiduto,Cerreto
H07909,43.71116,10.41202,6.0,fiduto,Pisa (Fac. Agraria
