id_staz,lat,lon,quota,nome
S02490,  59.84278,  18.63583,  14.9,synop,SVANBERGA
S02493,  59.75611,  19.41472,  14.8,synop,SODERARM
S02496,  59.44444,  19.50583,  10.0,synop,Svenska Hogarna
S02498,  59.44233,  19.50233,  12.1,synop,SVENSKA HOGARNA
S02500,  58.89778,  11.00639,  33.1,synop,NORDKOSTER
S02501,  58.58222,  11.07694,  22.2,synop,VADEROARNA
S02505,  58.10139,  11.33361,  15.7,synop,MASESKAR
S02507,  58.66076,  11.41775,  95.0,synop,HUD
S02513,  57.71567,  11.99250,   2.3,synop,GOTEBORG
S02515,  58.19969,  12.15406,  17.0,synop,TORPABRON
S02516,  57.63217,  11.60483,  17.4,synop,VINGA
S02518,  57.30667,  11.91083,   1.7,synop,NIDINGEN
S02520,  58.41667,  12.70000,      ,synop,Satenas
S02521,  58.60033,  12.41302,  59.0,synop,BERGARUD
